clinical_score,clinical_label,stimulus_set,metric,performance_variable,method,estimate,conf_low,conf_high,p_value,n,fdr_family,p_fdr
minispin_score,Mini-SPIN total,AI-white,Accuracy,accuracy_common_pct,pearson,-0.02372414969585161,-0.0862764627259886,0.03457612069678745,0.4527178523159894,1004,"FACES, AI-white, and AI-diverse correlations",0.5432614227791872
minispin_score,Mini-SPIN total,AI-white,Accuracy,accuracy_common_pct,spearman,-0.02705387606083172,-0.08810046324046003,0.03245730432729571,0.39182253545151713,1004,"FACES, AI-white, and AI-diverse correlations",0.5224300472686895
minispin_score,Mini-SPIN total,AI-white,Correct RT,correct_rt_common_mean_sec,pearson,-0.03466044592974475,-0.09736064596192069,0.02560024183260993,0.2718321284238876,1007,"FACES, AI-white, and AI-diverse correlations",0.7248856757970336
minispin_score,Mini-SPIN total,AI-white,Correct RT,correct_rt_common_mean_sec,spearman,-0.05099053915845695,-0.11079749503133644,0.009129815312838518,0.10584838008171503,1007,"FACES, AI-white, and AI-diverse correlations",0.3629087317087372
minispin_score,Mini-SPIN total,All-stimuli,Accuracy,accuracy_common_pct,pearson,-0.053994053225123746,-0.11095966653184264,0.004542237900938476,0.08555345462658191,1015,All-stimuli correlations,0.11407127283544255
minispin_score,Mini-SPIN total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.045550262645230315,-0.1027983651790021,0.014001290796242169,0.14701577674286845,1015,All-stimuli correlations,0.19602103565715792
minispin_score,Mini-SPIN total,All-stimuli,Correct RT,correct_rt_common_mean_sec,pearson,-0.039733631174468896,-0.1026878087157605,0.021548705245960382,0.20661046656191542,1012,All-stimuli correlations,0.5509612441651077
minispin_score,Mini-SPIN total,All-stimuli,Correct RT,correct_rt_common_mean_sec,spearman,-0.043942834983078966,-0.101503787501002,0.020427844970470233,0.16245739904253037,1012,All-stimuli correlations,0.43321973078008097
minispin_score,Mini-SPIN total,FACES,Accuracy,accuracy_common_pct,pearson,-0.047848069000383346,-0.10895527500627247,0.010077951871777877,0.12766143587612602,1015,"FACES, AI-white, and AI-diverse correlations",0.19149215381418905
minispin_score,Mini-SPIN total,FACES,Accuracy,accuracy_common_pct,spearman,-0.04864896696092423,-0.1095982722454534,0.010659576006032907,0.12140145317858973,1015,"FACES, AI-white, and AI-diverse correlations",0.19424232508574357
minispin_score,Mini-SPIN total,FACES,Correct RT,correct_rt_common_mean_sec,pearson,-0.035395068251602935,-0.09807208237145731,0.028005746125738876,0.2603755217313636,1013,"FACES, AI-white, and AI-diverse correlations",0.7248856757970336
minispin_score,Mini-SPIN total,FACES,Correct RT,correct_rt_common_mean_sec,spearman,-0.04201192037182414,-0.10758239995381684,0.021160354996426135,0.18152308042403817,1013,"FACES, AI-white, and AI-diverse correlations",0.4406596071885501
ocir_score,OCI-R total,AI-diverse,Accuracy,accuracy_common_pct,pearson,-0.18593662397128538,-0.25271265716598407,-0.124302121351891,2.3931411436197953e-9,1015,"FACES, AI-white, and AI-diverse correlations",1.1487077489375018e-8
ocir_score,OCI-R total,AI-diverse,Accuracy,accuracy_common_pct,spearman,-0.1125937315513672,-0.1723404974394873,-0.055908199133019476,3.2545827988803705e-4,1015,"FACES, AI-white, and AI-diverse correlations",0.0019527496793282223
ocir_score,OCI-R total,AI-diverse,Correct RT,correct_rt_common_mean_sec,pearson,0.017480108779510915,-0.04825377650014305,0.08419967474930298,0.5789760472056888,1010,"FACES, AI-white, and AI-diverse correlations",0.8173779489962667
ocir_score,OCI-R total,AI-diverse,Correct RT,correct_rt_common_mean_sec,spearman,-0.033307594351458046,-0.09276648986998182,0.025908161786523422,0.290276832917207,1010,"FACES, AI-white, and AI-diverse correlations",0.580553665834414
ocir_score,OCI-R total,AI-white,Accuracy,accuracy_common_pct,pearson,-0.16315141905065447,-0.23780451939723668,-0.09193971070818169,2.0140577951981143e-7,1004,"FACES, AI-white, and AI-diverse correlations",6.042173385594343e-7
ocir_score,OCI-R total,AI-white,Accuracy,accuracy_common_pct,spearman,-0.10607241219485754,-0.17048688894116476,-0.039080959699145636,7.617823702324535e-4,1004,"FACES, AI-white, and AI-diverse correlations",0.0022853471106973606
ocir_score,OCI-R total,AI-white,Correct RT,correct_rt_common_mean_sec,pearson,0.01027190960049938,-0.04848581323296777,0.07381330864979077,0.7447535341849316,1007,"FACES, AI-white, and AI-diverse correlations",0.8708993197594014
ocir_score,OCI-R total,AI-white,Correct RT,correct_rt_common_mean_sec,spearman,-0.02833255531577577,-0.08209187151474553,0.039251388805541805,0.3691066211448588,1007,"FACES, AI-white, and AI-diverse correlations",0.6723311210408673
ocir_score,OCI-R total,All-stimuli,Accuracy,accuracy_common_pct,pearson,-0.223444970943753,-0.2827452175125741,-0.15958905208866703,5.967905270206166e-13,1015,All-stimuli correlations,2.3871621080824663e-12
ocir_score,OCI-R total,All-stimuli,Accuracy,accuracy_common_pct,spearman,-0.18005709945759066,-0.2345319003069664,-0.12298474151517746,7.61992810579386e-9,1015,All-stimuli correlations,3.047971242317544e-8
