participant_id,trial_number,row_in_file,source,trial_stratum,target_emotion,response_emotion,correct,rt_sec,stimulus_id,face_age,face_gender,face_ethnicity,face_style,stimulus_variant,common_emotion,valid_trial_number,valid_source,valid_target,valid_stimulus_metadata,duplicate_trial_number,trial_number_occurrence,accuracy_included,rt_in_bounds,rt_included,task_position,gender_binary,participant_ethnicity_group,participant_white_status,face_white_status,gender_congruence,white_status_congruence,exact_ethnicity_congruence
participant_0003,80,80,FACES,FACES,anger,anger,TRUE,1.5934,S222,young,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,Woman,White,White,White,Same gender,Congruent,Exact match
participant_0004,1,1,AI,AI-non-white,surprise,surprise,TRUE,4.9115,S154,young,woman,asian,dark,a,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,Non-white,,Congruent,Exact match
participant_0004,2,2,FACES,FACES,disgust,anger,FALSE,5.8615,S201,old,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,3,3,AI,AI-white,surprise,surprise,TRUE,2.1581,S077,middle,woman,white,blond,a,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,4,4,FACES,FACES,fear,surprise,FALSE,4.9449,S190,old,man,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,5,5,FACES,FACES,disgust,disgust,TRUE,6.1784,S200,old,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,6,6,FACES,FACES,anger,neutral,FALSE,2.6261,S198,old,woman,white,mixed,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,7,7,FACES,FACES,sad,sad,TRUE,1.4434,S233,young,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,8,8,AI,AI-white,neutral,neutral,TRUE,4.1499,S124,old,woman,white,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,9,9,AI,AI-non-white,sad,sad,TRUE,1.3557,S097,old,man,latin,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,Non-white,,Congruent,Different category
participant_0004,10,10,FACES,FACES,sad,disgust,FALSE,4.8166,S185,middle,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,11,11,FACES,FACES,fear,fear,TRUE,4.2018,S203,old,woman,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,12,12,AI,AI-non-white,anger,anger,TRUE,1.7651,S127,young,man,asian,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,Non-white,,Congruent,Exact match
participant_0004,13,13,AI,AI-white,happy,happy,TRUE,1.2408,S032,middle,man,white,blond,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,14,14,FACES,FACES,sad,disgust,FALSE,6.5439,S197,old,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,15,15,FACES,FACES,sad,sad,TRUE,1.6577,S221,young,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,16,16,FACES,FACES,fear,disgust,FALSE,5.395899999999999,S215,young,man,white,mixed,b,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,FALSE,Position 3,,Asian,Non-white,White,,Incongruent,Different category
participant_0004,17,17,AI,AI-non-white,fear,fear,TRUE,4.9826999999999995,S052,middle,woman,black,dark,a,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,TRUE,TRUE,TRUE,Position 3,,Asian,Non-white,Non-white,,Congruent,Different category
